wine_name,vintage,popularity,score,avg_price
"Verite La Joie, Sonoma County, USA","
                            2013                    ","
                            591","
                            100/100                    ",351
"Verite La Joie, Sonoma County, USA","
                            2012                    ","
                            591","
                            100/100                    ",327
"Verite La Joie, Sonoma County, USA","
                            2007                    ","
                            591","
                            100/100                    ",366
"Paul Jaboulet Aine Hermitage La Chapelle, Rhone, France","
                            1990                    ","
                            67","
                            100/100                    ",615
"Paul Jaboulet Aine Hermitage La Chapelle, Rhone, France","
                            1978                    ","
                            67","
                            100/100                    ","1,478"
"Paul Jaboulet Aine Hermitage La Chapelle, Rhone, France","
                            1961                    ","
                            67","
                            100/100                    ","13,377"
"Giacomo Conterno Monfortino, Barolo Riserva DOCG, Italy","
                            2006                    ","
                            70","
                            100/100                    ","1,012"
"Giacomo Conterno Monfortino, Barolo Riserva DOCG, Italy","
                            2004                    ","
                            70","
                            100/100                    ","1,150"
"Vieux Chateau Certan, Pomerol, France","
                            2015                    ","
                            72","
                            100/100                    ",279
"Vieux Chateau Certan, Pomerol, France","
                            1945                    ","
                            72","
                            100/100                    ","3,545"
"Chateau Lafleur, Pomerol, France","
                            2005                    ","
                            88","
                            100/100                    ","1,608"
"Chateau Lafleur, Pomerol, France","
                            2000                    ","
                            88","
                            100/100                    ","1,641"
"Chateau Lafleur, Pomerol, France","
                            1950                    ","
                            88","
                            100/100                    ","6,820"
"E. Guigal Cote Rotie La Turque, Rhone, France","
                            1988                    ","
                            217","
                            100/100                    ",837
"E. Guigal Cote Rotie La Turque, Rhone, France","
                            1985                    ","
                            217","
                            100/100                    ","1,337"
"Clos Fourtet, Saint-Emilion Grand Cru, France","
                            2009                    ","
                            221","
                            100/100                    ",257
"Chateau L'Eglise-Clinet, Pomerol, France","
                            1955                    ","
                            232","
                            100/100                    ",615
"Chateau L'Eglise-Clinet, Pomerol, France","
                            1947                    ","
                            232","
                            100/100                    ","1,150"
"Domaine de la Mordoree Chateauneuf-du-Pape 'Cuvee La Reine des Bois', Rhone, France","
                            2001                    ","
                            676","
                            100/100                    ",224
"Marcassin 'Marcassin Vineyard' Pinot Noir, Sonoma Coast, USA","
                            2004                    ","
                            681","
                            100/100                    ",392
