wine_name,vintage,popularity,score,avg_price
"Domaine de Chevalier, Pessac-Leognan, France","
                            2010                    ","
                            86","
                            19/20                    ",85
"Chateau Lafleur, Pomerol, France","
                            2015                    ","
                            88","
                            19/20                    ","1,216"
"Chateau Lafleur, Pomerol, France","
                            2012                    ","
                            88","
                            19/20                    ",485
"Chateau Lafleur, Pomerol, France","
                            2008                    ","
                            88","
                            19/20                    ",610
"Chateau Lafleur, Pomerol, France","
                            2007                    ","
                            88","
                            19/20                    ",431
"Chateau Lafleur, Pomerol, France","
                            2003                    ","
                            88","
                            19/20                    ",609
"Krug Clos du Mesnil Blanc de Blancs Brut, Champagne, France","
                            2000                    ","
                            94","
                            19/20                    ",879
"Domaine Georges & Christophe Roumier Bonnes-Mares Grand Cru, Cote de Nuits, France","
                            2008                    ","
                            96","
                            19/20                    ",953
"Chateau de Beaucastel Chateauneuf-du-Pape Grand Cuvee Hommage a Jacques Perrin, Rhone, France","
                            2005                    ","
                            108","
                            19/20                    ",410
"Domaine du Clos de Tart 'Clos de Tart' Grand Cru Monopole, Cote de Nuits, France","
                            2005                    ","
                            111","
                            19/20                    ",577
"Domaine du Clos de Tart 'Clos de Tart' Grand Cru Monopole, Cote de Nuits, France","
                            2004                    ","
                            111","
                            19/20                    ",295
"Domaine du Clos de Tart 'Clos de Tart' Grand Cru Monopole, Cote de Nuits, France","
                            2003                    ","
                            111","
                            19/20                    ",370
"Domaine Armand Rousseau Pere et Fils Chambertin Clos-de-Beze Grand Cru, Cote de Nuits, France","
                            2010                    ","
                            114","
                            19/20                    ","2,044"
"Domaine Armand Rousseau Pere et Fils Chambertin Clos-de-Beze Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            114","
                            19/20                    ","1,904"
"Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France","
                            2008                    ","
                            116","
                            19/20                    ","6,495"
"Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune, France","
                            2004                    ","
                            116","
                            19/20                    ","6,272"
"Chateau Haut-Bailly, Pessac-Leognan, France","
                            2010                    ","
                            126","
                            19/20                    ",146
"Chateau Trotanoy, Pomerol, France","
                            2015                    ","
                            128","
                            19/20                    ",278
"Chateau Trotanoy, Pomerol, France","
                            2009                    ","
                            128","
                            19/20                    ",294
"Louis Roederer Cristal Rose Brut Millesime, Champagne, France","
                            1995                    ","
                            144","
                            19/20                    ",679
"Domaine Leroy Musigny Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            156","
                            19/20                    ","17,540"
"Domaine du Comte Liger-Belair La Romanee Grand Cru, Cote de Nuits, France","
                            2013                    ","
                            157","
                            19/20                    ","3,423"
"Domaine du Comte Liger-Belair La Romanee Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            157","
                            19/20                    ","4,649"
"Domaine du Comte Liger-Belair La Romanee Grand Cru, Cote de Nuits, France","
                            2007                    ","
                            157","
                            19/20                    ","3,215"
"E. Guigal Cote Rotie La Landonne, Rhone, France","
                            2012                    ","
                            164","
                            19/20                    ",336
"Chateau Pavie, Saint-Emilion Grand Cru, France","
                            2009                    ","
                            39","
                            19/20                    ",364
"Chateau Pavie, Saint-Emilion Grand Cru, France","
                            2008                    ","
                            39","
                            19/20                    ",263
"Chateau Pavie, Saint-Emilion Grand Cru, France","
                            2005                    ","
                            39","
                            19/20                    ",412
"Chateau Pavie, Saint-Emilion Grand Cru, France","
                            2000                    ","
                            39","
                            19/20                    ",585
"Chateau Calon-Segur, Saint-Estephe, France","
                            2009                    ","
                            43","
                            19/20                    ",118
"Domaine de la Romanee-Conti Richebourg Grand Cru, Cote de Nuits, France","
                            2014                    ","
                            44","
                            19/20                    ","2,176"
"Domaine de la Romanee-Conti Richebourg Grand Cru, Cote de Nuits, France","
                            2010                    ","
                            44","
                            19/20                    ","2,747"
"Domaine de la Romanee-Conti Richebourg Grand Cru, Cote de Nuits, France","
                            2006                    ","
                            44","
                            19/20                    ","2,538"
"Salon Cuvee 'S' Le Mesnil Blanc de Blancs, Champagne, France","
                            1999                    ","
                            45","
                            19/20                    ",471
"Salon Cuvee 'S' Le Mesnil Blanc de Blancs, Champagne, France","
                            1995                    ","
                            45","
                            19/20                    ",687
"Chateau Figeac, Saint-Emilion Grand Cru, France","
                            2015                    ","
                            47","
                            19/20                    ",190
"Chateau Figeac, Saint-Emilion Grand Cru, France","
                            1998                    ","
                            47","
                            19/20                    ",194
"Clos des Papes Chateauneuf-du-Pape, Rhone, France","
                            2005                    ","
                            53","
                            19/20                    ",105
"Domaine de la Romanee-Conti Romanee-Saint-Vivant Grand Cru, Cote de Nuits, France","
                            2008                    ","
                            54","
                            19/20                    ","2,049"
"Domaine de la Romanee-Conti Romanee-Saint-Vivant Grand Cru, Cote de Nuits, France","
                            2006                    ","
                            54","
                            19/20                    ","2,163"
"Domaine de la Romanee-Conti Romanee-Saint-Vivant Grand Cru, Cote de Nuits, France","
                            2004                    ","
                            54","
                            19/20                    ","1,877"
"Chateau Pape Clement, Pessac-Leognan, France","
                            2010                    ","
                            55","
                            19/20                    ",217
"Chateau Rayas Chateauneuf-du-Pape Reserve, Rhone, France","
                            2010                    ","
                            62","
                            19/20                    ",944
"Chateau Smith Haut Lafitte, Pessac-Leognan, France","
                            2010                    ","
                            64","
                            19/20                    ",139
"Chateau Ausone, Saint-Emilion Grand Cru, France","
                            2015                    ","
                            66","
                            19/20                    ",857
"Domaine Leroy Latricieres-Chambertin Grand Cru, Cote de Nuits, France","
                            2014                    ","
                            907","
                            19/20                    ","3,659"
"Domaine Leroy Latricieres-Chambertin Grand Cru, Cote de Nuits, France","
                            2011                    ","
                            907","
                            19/20                    ","4,419"
"Domaine Leroy Latricieres-Chambertin Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            907","
                            19/20                    ","4,285"
"Domaine Leroy Latricieres-Chambertin Grand Cru, Cote de Nuits, France","
                            2006                    ","
                            907","
                            19/20                    ","2,592"
"M. Chapoutier Ermitage Le Meal, Rhone, France","
                            2010                    ","
                            915","
                            19/20                    ",219
"M. Chapoutier Ermitage Le Meal, Rhone, France","
                            2009                    ","
                            915","
                            19/20                    ",238
"Domaine Jamet Cote Rotie Cote Brune, Rhone, France","
                            2009                    ","
                            929","
                            19/20                    ",420
"Chateau Ausone, Saint-Emilion Grand Cru, France","
                            2010                    ","
                            66","
                            19/20                    ","1,407"
"Chateau Ausone, Saint-Emilion Grand Cru, France","
                            2006                    ","
                            66","
                            19/20                    ",745
"Chateau Ausone, Saint-Emilion Grand Cru, France","
                            2003                    ","
                            66","
                            19/20                    ","1,029"
"Chateau Rauzan-Segla, Margaux, France","
                            2009                    ","
                            69","
                            19/20                    ",130
"Dom Perignon Rose, Champagne, France","
                            2003                    ","
                            84","
                            19/20                    ",288
"Domaine des Comtes Lafon Charmes, Meursault Premier Cru, France","
                            2009                    ","
                            548","
                            19/20                    ",214
"La Mondotte, Saint-Emilion Grand Cru, France","
                            2009                    ","
                            581","
                            19/20                    ",598
"La Mondotte, Saint-Emilion Grand Cru, France","
                            1998                    ","
                            581","
                            19/20                    ",285
"Domaine Arnaud Ente Meursault 'Clos des Ambres', Cote de Beaune, France","
                            2010                    ","
                            945","
                            19/20                    ",545
"Domaine Sylvie Esmonin Clos Saint-Jacques, Gevrey-Chambertin Premier Cru, France","
                            2010                    ","
                            964","
                            19/20                    ",195
"Domaine Sylvie Esmonin Clos Saint-Jacques, Gevrey-Chambertin Premier Cru, France","
                            2005                    ","
                            964","
                            19/20                    ",244
"Louis Jadot Montrachet Grand Cru, Cote de Beaune, France","
                            2012                    ","
                            989","
                            19/20                    ",415
"Louis Jadot Montrachet Grand Cru, Cote de Beaune, France","
                            2010                    ","
                            989","
                            19/20                    ",483
"Louis Jadot Montrachet Grand Cru, Cote de Beaune, France","
                            2008                    ","
                            989","
                            19/20                    ",389
"Louis Jadot Chambertin Clos-de-Beze Grand Cru, Cote de Nuits, France","
                            2012                    ","
                            1,002","
                            19/20                    ",296
"Louis Jadot Chambertin Clos-de-Beze Grand Cru, Cote de Nuits, France","
                            2011                    ","
                            1,002","
                            19/20                    ",197
"Louis Jadot Chambertin Clos-de-Beze Grand Cru, Cote de Nuits, France","
                            2010                    ","
                            1,002","
                            19/20                    ",423
"Louis Jadot Chambertin Clos-de-Beze Grand Cru, Cote de Nuits, France","
                            2009                    ","
                            1,002","
                            19/20                    ",268
"Charles Heidsieck Blanc des Millenaires, Champagne, France","
                            1995                    ","
                            626","
                            19/20                    ",148
"Bouchard Pere & Fils Montrachet Grand Cru, Cote de Beaune, France","
                            2013                    ","
                            704","
                            19/20                    ",479
"Bouchard Pere & Fils Montrachet Grand Cru, Cote de Beaune, France","
                            2012                    ","
                            704","
                            19/20                    ",502
"Bouchard Pere & Fils Montrachet Grand Cru, Cote de Beaune, France","
                            2011                    ","
                            704","
                            19/20                    ",427
"Bouchard Pere & Fils Montrachet Grand Cru, Cote de Beaune, France","
                            2006                    ","
                            704","
                            19/20                    ",496
"Domaine Jean-Louis Chave Ermitage 'Cuvee Cathelin', Rhone, France","
                            1998                    ","
                            727","
                            19/20                    ","4,632"
"Chateau La Mission Haut-Brion Blanc, Pessac-Leognan, France","
                            2011                    ","
                            739","
                            19/20                    ",757
"Joseph Drouhin Amoureuses, Chambolle-Musigny Premier Cru, France","
                            2009                    ","
                            1,061","
                            19/20                    ",434
"Leroy Domaine d'Auvenay Chevalier-Montrachet Grand Cru, Cote de Beaune, France","
                            2011                    ","
                            1,064","
                            19/20                    ","4,460"
"Chateau Soutard, Saint-Emilion Grand Cru, France","
                            1959                    ","
                            1,065","
                            19/20                    ",145
"E. Guigal Ermitage Ex-Voto, Rhone, France","
                            2010                    ","
                            1,081","
                            19/20                    ",328
"Bollinger La Grande Annee Rose, Champagne, France","
                            2005                    ","
                            1,107","
                            19/20                    ",119
"Bollinger La Grande Annee Rose, Champagne, France","
                            2004                    ","
                            1,107","
                            19/20                    ",132
"Chateau La Mission Haut-Brion Blanc, Pessac-Leognan, France","
                            2004                    ","
                            739","
                            19/20                    ",215
"Domaine Leroy Les Boudots, Nuits-Saint-Georges Premier Cru, France","
                            2010                    ","
                            756","
                            19/20                    ","1,432"
"Domaine Leflaive Bienvenues-Batard-Montrachet Grand Cru, Cote de Beaune, France","
                            2005                    ","
                            802","
                            19/20                    ",433
"Bollinger La Grande Annee Rose, Champagne, France","
                            2002                    ","
                            1,107","
                            19/20                    ",150
