name,vintage,avg_price,producer,region/appellation,country,blend,pairing,style,alcohol
"E. Guigal Cote Rotie La Landonne, Rhone, France",2009,"
€436
",E. Guigal,Cote Rotie,"
France
",Syrah,Lamb,Red - Bold and Structured,13%
"E. Guigal Cote Rotie La Landonne, Rhone, France",2010,"
€445
",E. Guigal,Cote Rotie,"
France
",Syrah,Lamb,Red - Bold and Structured,13%
"E. Guigal Cote Rotie La Landonne, Rhone, France",2012,"
€347
",E. Guigal,Cote Rotie,"
France
",Syrah,Lamb,Red - Bold and Structured,13%
"E. Guigal Cote Rotie La Landonne, Rhone, France",2014,"
€260
","Cote Rotie,
Rhone, ,
France
",Syrah,Syrah,,,,
"Scarecrow Cabernet Sauvignon, Rutherford, USA",2007,"
€930
",Scarecrow Wine,Rutherford,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 15%
"Scarecrow Cabernet Sauvignon, Rutherford, USA",2009,"
€524
",Scarecrow Wine,Rutherford,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 15%
"Scarecrow Cabernet Sauvignon, Rutherford, USA",2013,"
€809
",Scarecrow Wine,Rutherford,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 15%
"Scarecrow Cabernet Sauvignon, Rutherford, USA",2014,"
€816
",Scarecrow Wine,Rutherford,"
USA
",Cabernet Sauvignon,Beef and Venison,Red - Bold and Structured,14 - 15%
"Chateau de Beaucastel Chateauneuf-du-Pape Grand Cuvee Hommage a Jacques Perrin, Rhone, France",1989,"
€907
",Chateau de Beaucastel,Chateauneuf-du-Pape,"
France
",Southern Rhone Red Blend,Lamb,Red - Rich and Intense,
"Chateau de Beaucastel Chateauneuf-du-Pape Grand Cuvee Hommage a Jacques Perrin, Rhone, France",1990,"
€850
",Chateau de Beaucastel,Chateauneuf-du-Pape,"
France
",Southern Rhone Red Blend,Lamb,Red - Rich and Intense,
"Chateau de Beaucastel Chateauneuf-du-Pape Grand Cuvee Hommage a Jacques Perrin, Rhone, France",1998,"
€577
",Chateau de Beaucastel,Chateauneuf-du-Pape,"
France
",Southern Rhone Red Blend,Lamb,Red - Rich and Intense,
"Chateau de Beaucastel Chateauneuf-du-Pape Grand Cuvee Hommage a Jacques Perrin, Rhone, France",2007,"
€487
",Chateau de Beaucastel,Chateauneuf-du-Pape,"
France
",Southern Rhone Red Blend,Lamb,Red - Rich and Intense,
